"value","dia","mes","0-24"
38.303,1,3,1
38.972,1,3,1.25
39.228,1,3,1.5
39.125,1,3,1.75
77.036,1,3,2
77.394,1,3,2.25
77.612,1,3,2.5
77.629,1,3,2.75
115.603,1,3,3
115.935,1,3,3.25
116.197,1,3,3.5
116.353,1,3,3.75
154.264,1,3,4
155.354,1,3,4.25
156.139,1,3,4.5
156.319,1,3,4.75
194.902,1,3,5
195.239,1,3,5.25
196.487,1,3,5.5
197.537,1,3,5.75
237.753,1,3,6
239.104,1,3,6.25
240.013,1,3,6.5
239.53,1,3,6.75
277.758,1,3,7
282.87,1,3,7.25
291.944,1,3,7.5
296.198,1,3,7.75
337.185,1,3,8
342.919,1,3,8.25
345.166,1,3,8.5
345.672,1,3,8.75
383.612,1,3,9
383.517,1,3,9.25
383.503,1,3,9.5
382.945,1,3,9.75
418.714,1,3,10
418.065,1,3,10.25
417.467,1,3,10.5
416.334,1,3,10.75
453.451,1,3,11
452.985,1,3,11.25
452.562,1,3,11.5
451.515,1,3,11.75
488.657,1,3,12
488.506,1,3,12.25
489.576,1,3,12.5
489.793,1,3,12.75
529.548,1,3,13
527.789,1,3,13.25
527.148,1,3,13.5
525.255,1,3,13.75
562.134,1,3,14
560.325,1,3,14.25
558.086,1,3,14.5
555.433,1,3,14.75
590.062,1,3,15
586.758,1,3,15.25
583.871,1,3,15.5
580.055,1,3,15.75
614.591,1,3,16
611.432,1,3,16.25
607.796,1,3,16.5
604.183,1,3,16.75
638.912,1,3,17
635.719,1,3,17.25
632.465,1,3,17.5
628.267,1,3,17.75
662.685,1,3,18
661.875,1,3,18.25
662.639,1,3,18.5
661.897,1,3,18.75
699.788,1,3,19
700.431,1,3,19.25
700.018,1,3,19.5
699.968,1,3,19.75
738.259,1,3,20
738.804,1,3,20.25
739.029,1,3,20.5
738.923,1,3,20.75
777.141,1,3,21
777.512,1,3,21.25
778.139,1,3,21.5
778.528,1,3,21.75
817.295,1,3,22
817.876,1,3,22.25
818.358,1,3,22.5
818.695,1,3,22.75
856.747,1,3,23
857.398,1,3,23.25
857.662,1,3,23.5
857.943,1,3,23.75
895.758,2,3,0
896.12,2,3,0.25
896.606,2,3,0.5
896.462,2,3,0.75
934.563,2,3,1
935.334,2,3,1.25
935.993,2,3,1.5
936.113,2,3,1.75
974.725,2,3,2
974.97,2,3,2.25
975.247,2,3,2.5
975.052,2,3,2.75
1013.333,2,3,3
1013.962,2,3,3.25
1014.531,2,3,3.5
1014.64,2,3,3.75
1053.141,2,3,4
1053.682,2,3,4.25
1054.38,2,3,4.5
1055.223,2,3,4.75
1093.748,2,3,5
1094.448,2,3,5.25
1095.04,2,3,5.5
1094.734,2,3,5.75
1132.813,2,3,6
1137.31,2,3,6.25
1147.842,2,3,6.5
1152.745,2,3,6.75
1189.021,2,3,7
1186.766,2,3,7.25
1185.355,2,3,7.5
1182.903,2,3,7.75
1221.417,2,3,8
1222.348,2,3,8.25
1221.162,2,3,8.5
1218.137,2,3,8.75
1252.34,2,3,9
1248.849,2,3,9.25
1245.324,2,3,9.5
1241.358,2,3,9.75
1274.993,2,3,10
1271.181,2,3,10.25
1267.242,2,3,10.5
1262.401,2,3,10.75
1296.346,2,3,11
1291.632,2,3,11.25
1288.275,2,3,11.5
1283.136,2,3,11.75
1317.543,2,3,12
1312.815,2,3,12.25
1309.183,2,3,12.5
1304.574,2,3,12.75
1338.136,2,3,13
1333.681,2,3,13.25
1329.373,2,3,13.5
1324.604,2,3,13.75
1357.772,2,3,14
1353.241,2,3,14.25
1348.94,2,3,14.5
1344.126,2,3,14.75
1377.32,2,3,15
1372.823,2,3,15.25
1368.42,2,3,15.5
1363.584,2,3,15.75
1396.823,2,3,16
1392.45,2,3,16.25
1387.839,2,3,16.5
1382.986,2,3,16.75
1416.362,2,3,17
1411.868,2,3,17.25
1408.671,2,3,17.5
1403.862,2,3,17.75
1438.301,2,3,18
1437.886,2,3,18.25
1438.753,2,3,18.5
1438.303,2,3,18.75
1477.031,2,3,19
1476.615,2,3,19.25
